year,time_period_id,average_flow_predictions,main_branch,ashmont_branch,braintree_branch,stop_name,direction_id
2019.0,4.0,8312.912109884557,1,0,0,Kendall/MIT,0
2019.0,4.0,3644.057813419914,0,0,1,North Quincy,0
2019.0,4.0,8900.172335281388,1,0,0,Park Street,0
2019.0,4.0,4781.347033333334,1,0,0,Porter,0
2019.0,4.0,1087.2058952380958,0,0,1,Quincy Adams,0
2019.0,4.0,2232.93286904762,0,0,1,Quincy Center,0
2019.0,4.0,2832.928062914863,0,1,0,Savin Hill,0
2019.0,4.0,1770.4671705627704,0,1,0,Shawmut,0
2019.0,4.0,9037.648878860029,1,0,0,South Station,0
2019.0,4.0,2950.9555942279944,0,0,1,Wollaston,0
2019.0,5.0,438.05903174603185,1,0,0,Alewife,0
2019.0,5.0,6362.470634415585,1,0,0,Andrew,0
2019.0,1.0,55.380378066378114,1,0,0,Alewife,0
2019.0,1.0,838.53238015873,1,0,0,Andrew,0
2019.0,1.0,14.426549855699852,0,1,0,Ashmont,0
2019.0,1.0,849.2486348484846,1,0,0,Broadway,0
2019.0,1.0,25.98998037518037,0,0,1,Braintree,0
2019.0,1.0,474.01732125652114,1,0,0,Charles/MGH,0
2019.0,1.0,354.4594458874461,1,0,0,Central,0
2019.0,1.0,162.27240411255414,1,0,0,Davis,0
2019.0,1.0,718.224372294372,1,0,0,Downtown Crossing,0
2019.0,1.0,211.70622914862915,0,1,0,Fields Corner,0
2019.0,1.0,264.46294797979795,1,0,0,Harvard,0
2019.0,1.0,690.4307026695528,1,0,0,JFK/Umass,0
2019.0,1.0,388.9461974969474,1,0,0,Kendall/MIT,0
2019.0,1.0,467.5293421356424,0,0,1,North Quincy,0
2019.0,1.0,602.7712190476191,1,0,0,Park Street,0
2019.0,1.0,209.45826176046165,1,0,0,Porter,0
2019.0,1.0,128.30414126984138,0,0,1,Quincy Adams,0
2019.0,1.0,257.90501226551214,0,0,1,Quincy Center,0
2019.0,1.0,253.0725669275167,0,1,0,Savin Hill,0
2019.0,1.0,105.5066098124098,0,1,0,Shawmut,0
2019.0,1.0,763.0159344877347,1,0,0,South Station,0
2019.0,1.0,326.4773733488734,0,0,1,Wollaston,0
2019.0,2.0,543.1853761904764,1,0,0,Alewife,0
2019.0,2.0,3346.46368015873,1,0,0,Andrew,0
2019.0,2.0,734.0007413419909,0,1,0,Ashmont,0
2019.0,2.0,3384.846338600291,1,0,0,Broadway,0
2019.0,2.0,669.3901538239535,0,0,1,Braintree,0
2019.0,2.0,1930.1050055555545,1,0,0,Charles/MGH,0
2019.0,2.0,1531.1038983405485,1,0,0,Central,0
2019.0,2.0,943.9308484126976,1,0,0,Davis,0
2019.0,2.0,3022.281522727274,1,0,0,Downtown Crossing,0
2019.0,2.0,1149.6241325396823,0,1,0,Fields Corner,0
2019.0,2.0,1292.6246987734494,1,0,0,Harvard,0
2019.0,2.0,3104.703945310246,1,0,0,JFK/Umass,0
2019.0,2.0,1664.1043857142856,1,0,0,Kendall/MIT,0
2019.0,2.0,1971.0285333333334,0,0,1,North Quincy,0
2019.0,2.0,2553.8439000000003,1,0,0,Park Street,0
2019.0,2.0,1128.5496823232322,1,0,0,Porter,0
2019.0,2.0,975.4908181818179,0,0,1,Quincy Adams,0
2019.0,2.0,1363.6882677489173,0,0,1,Quincy Center,0
2019.0,9.0,260.53423015873,1,0,0,Park Street,0
2019.0,9.0,100.31517056277065,1,0,0,Porter,0
2019.0,9.0,2.518369552669553,0,0,1,Quincy Adams,0
2019.0,9.0,8.756196825396817,0,0,1,Quincy Center,0
2019.0,9.0,99.02426825396834,0,1,0,Savin Hill,0
2019.0,9.0,14.94579451659451,0,1,0,Shawmut,0
2019.0,7.0,7453.819615295814,1,0,0,Downtown Crossing,0
2019.0,9.0,276.9000595959593,1,0,0,South Station,0
2019.0,9.0,19.286322077922076,0,0,1,Wollaston,0
2019.0,7.0,1455.4595948051945,0,1,0,Fields Corner,0
2019.0,7.0,5598.829385786435,1,0,0,Harvard,0
2019.0,7.0,3493.2644690476186,1,0,0,JFK/Umass,0
2019.0,7.0,7656.050379870128,1,0,0,Kendall/MIT,0
2019.0,7.0,2094.2426585137105,0,0,1,North Quincy,0
2019.0,7.0,7803.242990909085,1,0,0,Park Street,0
2019.0,7.0,3753.986567460319,1,0,0,Porter,0
2019.0,7.0,524.2363388167383,0,0,1,Quincy Adams,0
2019.0,7.0,1178.3241837662338,0,0,1,Quincy Center,0
2019.0,7.0,1940.6548321067826,0,1,0,Savin Hill,0
2019.0,7.0,1091.842222582973,0,1,0,Shawmut,0
2019.0,7.0,7760.708857359309,1,0,0,South Station,0
2019.0,7.0,1841.0066348484843,0,0,1,Wollaston,0
2019.0,8.0,74.89083730158733,1,0,0,Alewife,0
2019.0,8.0,1473.9817772005779,1,0,0,Andrew,0
2019.0,8.0,81.0640563492064,0,1,0,Ashmont,0
2019.0,8.0,1616.8539332611829,1,0,0,Broadway,0
2019.0,8.0,21.402731601731585,0,0,1,Braintree,0
2019.0,8.0,1941.2664018037517,1,0,0,Charles/MGH,0
2019.0,8.0,1622.9633960317474,1,0,0,Central,0
2019.0,8.0,441.4610531746032,1,0,0,Davis,0
2019.0,8.0,1819.0322222222212,1,0,0,Downtown Crossing,0
2019.0,8.0,414.0832329004327,0,1,0,Fields Corner,0
2019.0,8.0,1368.8896067099552,1,0,0,Harvard,0
2019.0,8.0,793.9139448051947,1,0,0,JFK/Umass,0
2019.0,8.0,1849.023979076478,1,0,0,Kendall/MIT,0
2019.0,8.0,337.21682301587305,0,0,1,North Quincy,0
2019.0,8.0,2138.674874247974,1,0,0,Park Street,0
2019.0,8.0,858.9054163059163,1,0,0,Porter,0
2019.0,8.0,41.702948556998564,0,0,1,Quincy Adams,0
2019.0,8.0,97.8057968253969,0,0,1,Quincy Center,0
2019.0,8.0,605.6085849150845,0,1,0,Savin Hill,0
2019.0,8.0,270.39742063492065,0,1,0,Shawmut,0
2019.0,8.0,1899.573901010102,1,0,0,South Station,0
2019.0,8.0,156.81089047619042,0,0,1,Wollaston,0
2019.0,9.0,4.227903968253967,1,0,0,Alewife,0
2019.0,9.0,207.64899018759027,1,0,0,Andrew,0
2019.0,9.0,8.570654040404044,0,1,0,Ashmont,0
2019.0,9.0,233.3394707070707,1,0,0,Broadway,0
2019.0,9.0,1.3810538239538233,0,0,1,Braintree,0
2019.0,9.0,237.89815649350675,1,0,0,Charles/MGH,0
2019.0,9.0,203.4240364357865,1,0,0,Central,0
2019.0,9.0,33.81390079365079,1,0,0,Davis,0
2019.0,9.0,263.84478080808077,1,0,0,Downtown Crossing,0
2019.0,9.0,65.29818174603173,0,1,0,Fields Corner,0
2019.0,9.0,173.2446484126985,1,0,0,Harvard,0
2019.0,9.0,103.40641349206348,1,0,0,JFK/Umass,0
2019.0,9.0,233.25573860028862,1,0,0,Kendall/MIT,0
2019.0,9.0,38.29322683982684,0,0,1,North Quincy,0
