FID,mode,season,year,route_id,route_name,direction_id,day_type_id,time_period_id,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,stop_order_real,main_branch,ashmont_branch,braintree_branch,average_flow_min,day_type_weekday,stop_Alewife,stop_Andrew,stop_Ashmont,stop_Braintree,stop_Broadway,stop_Central,stop_Charles/MGH,stop_Davis,stop_Downtown Crossing,stop_Fields Corner,stop_Harvard,stop_JFK/Umass,stop_Kendall/MIT,stop_North Quincy,stop_Park Street,stop_Porter,stop_Quincy Adams,stop_Quincy Center,stop_Savin Hill,stop_Shawmut,stop_South Station,stop_Wollaston,time_period_AM_PEAK,time_period_EARLY_AM,time_period_EVENING,time_period_LATE_EVENING,time_period_MIDDAY_BASE,time_period_MIDDAY_SCHOOL,time_period_NIGHT,time_period_PM_PEAK,time_period_VERY_EARLY_MORNING
4822,1,Fall,2019,Red,Red Line,0,1,6,place-andrw,38641,114197,77,502,1483,16500,12.0,1,0,0,110.73825503355705,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4824,1,Fall,2019,Red,Red Line,0,1,6,place-asmnl,0,220672,77,0,2866,0,17.0,0,1,0,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4826,1,Fall,2019,Red,Red Line,0,1,6,place-brdwy,54184,113919,77,704,1479,17482,11.0,1,0,0,117.32885906040268,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4828,1,Fall,2019,Red,Red Line,0,1,2,place-shmnl,1662,1696,77,22,22,225,14.0,0,1,0,3.8135593220338984,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
4885,1,Fall,2019,Red,Red Line,0,1,2,place-smmnl,462,2710,77,6,35,160,16.0,0,1,0,2.711864406779661,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
4886,1,Fall,2019,Red,Red Line,0,1,6,place-brntn,0,145157,77,0,1885,0,18.0,0,0,1,0.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4892,1,Fall,2019,Red,Red Line,0,1,6,place-chmnl,174562,61860,77,2267,803,13875,7.0,1,0,0,93.12080536912751,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4897,1,Fall,2019,Red,Red Line,0,1,6,place-cntsq,176758,60575,77,2296,787,7970,5.0,1,0,0,53.48993288590604,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4899,1,Fall,2019,Red,Red Line,0,1,2,place-sstat,8111,48876,77,105,635,981,10.0,1,0,0,16.627118644067796,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
4901,1,Fall,2019,Red,Red Line,0,1,2,place-wlsta,1392,1521,77,18,20,322,15.0,0,0,1,5.4576271186440675,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
4903,1,Fall,2019,Red,Red Line,0,1,6,place-davis,95174,20443,77,1236,265,2949,2.0,1,0,0,19.79194630872483,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
